43
DamID DamName DamLat DamLon UpArea DamIX DamIY FldVol_mcm ConVol_mcm TotVol_mcm Qn Qf DamYear
1 "Mequinenza" 41.375 0.27499999999997726 57213.599744 193 149 567.51 966.29 1533.8 171.61 903.483 1966
2 "Canelles" 41.975 0.625 1647.024768 200 137 254.38 433.12 687.5 10.68 211.533 1960
3 "ItoizDam" 42.824999999999996 -1.375 501.48672 160 120 216.82 369.18 586.0 7.05 123.681 2003
4 "Ebro" 42.975 -4.025000000000006 474.96208 107 117 199.8 340.2 540.0 3.24 67.428 1945
5 "Yesa" 42.625 -1.1750000000000114 2190.006784 164 124 165.35 281.55 446.9 39.81 566.388 1959
6 "Mediano" 42.324999999999996 0.22499999999999432 1837.073024 192 130 162.06 275.94 438.0 24.05 312.36 1959
7 "Rialb" 41.975 1.2249999999999943 3276.091904 212 137 148.74 253.26 402.0 21.51 524.364 1999
8 "ElGrado1" 42.175 0.22499999999999432 2131.62496 192 133 147.63 251.37 399.0 25.45 307.908 1969
9 "SantaAna" 41.925 0.5749999999999886 1696.68864 199 138 87.69 149.31 237.0 10.72 207.189 1961
10 "Ribarroja" 41.275 0.42499999999998295 81944.28928 196 151 76.55 130.35 206.9 275.48 1744.728 1969
11 "Talarn" 42.225 0.9749999999999943 2032.197888 207 132 75.89 129.21 205.1 18.34 317.505 1916
12 "LaSotonera" 42.074999999999996 -0.375 226.563344 180 135 67.19 114.41 181.6 0.37 45.252 1963
13 "Camarasa" 41.975 0.8249999999999886 2723.166976 204 137 60.46 102.94 163.4 21.53 374.022 1920
14 "Escales" 42.324999999999996 0.7249999999999943 728.840384 202 130 56.91 96.89 153.8 6.39 101.361 1955
15 "Ullivarri" 42.925 -2.575000000000017 277.509216 136 118 54.39 92.61 147.0 1.69 37.896 1957
16 "SanSalvador" 41.725 0.27499999999997726 29.042436 193 142 45.88 78.12 124.0 0.01 2.262 2013
17 "LaLoteta" 41.875 -1.0250000000000057 30.791366 167 139 38.78 66.02 104.8 0.01 0.846 2009
18 "Mularroya" 41.324999999999996 -1.5250000000000057 181.71736 157 150 38.11 64.89 103.0 0.05 6.114 2016
19 "Oliana" 42.125 1.3249999999999886 2658.1504 214 134 37.41 63.69 101.1 18.75 465.771 1959
20 "Barasona" 42.125 0.32499999999998863 1510.441088 194 134 34.11 58.09 92.2 11.39 205.689 1932
21 "Alloz" 42.725 -1.9250000000000114 185.923712 149 122 31.19 53.11 84.3 0.76 31.311 1930
22 "LaTranquera" 41.275 -1.7750000000000057 1486.648192 152 151 30.97 52.73 83.7 0.82 33.279 1960
23 "Caspe2" 41.125 -0.025000000000005684 3668.876288 187 154 30.19 51.41 81.6 3.54 409.233 1989
24 "LeLanoux" 42.425 2.125 18.711888 230 128 27.01 45.99 73.0 0.18 6.867 1960
25 "Urrunaga" 42.975 -2.6750000000000114 146.0476 134 117 26.64 45.36 72.0 0.99 22.944 1957
26 "Mansilla" 42.375 -2.9750000000000227 241.889744 128 129 25.05 42.65 67.7 0.9 26.424 1960
27 "Bubal" 42.725 -0.32500000000001705 278.430592 181 122 23.79 40.51 64.3 5.84 78.141 1971
28 "Calanda" 40.875 -0.22500000000002274 2660.770816 183 159 20.28 34.52 54.8 2.74 334.245 1982
29 "Santolea" 41.025 -0.575000000000017 1228.859904 176 156 19.43 33.08 52.5 0.54 58.194 1932
30 "Pajares" 42.074999999999996 -2.625 107.455944 135 135 12.95 22.05 35.0 0.47 15.165 1994
31 "Terradets" 42.074999999999996 0.875 2507.89504 205 135 12.28 20.92 33.2 20.8 371.409 1935
32 "GonzalezLacasa" 42.175 -2.5250000000000057 45.28184 137 133 12.17 20.73 32.9 0.2 6.414 1962
33 "CuevaForadada" 40.925 -0.7250000000000227 594.118016 173 158 9.73 16.57 26.3 0.29 30.825 1926
34 "Lanuza" 42.775 -0.32500000000001705 120.980552 181 121 9.25 15.75 25.0 2.54 34.068 1978
35 "Eugui" 42.775 -1.2250000000000227 68.665688 163 121 8.1 13.8 21.9 0.79 17.478 1971
36 "Pena" 40.925 -0.07500000000001705 62.046652 186 158 6.84 11.66 18.5 0.06 10.551 1930
37 "MaideveraSaddleDam1" 41.375 -1.9250000000000114 77.28068 149 149 6.77 11.53 18.3 0.04 2.979 1981
38 "LaPena" 42.425 -0.7250000000000227 1558.299648 173 128 5.7 9.7 15.4 16.06 264.156 1913
39 "Irabia" 42.975 -1.125 125.634936 165 117 5.03 8.57 13.6 2.15 35.919 1925
40 "Ciurana" 41.324999999999996 0.875 59.295696 205 150 4.62 7.88 12.5 0.08 12.918 1972
41 "Flix" 41.225 0.5249999999999773 82180.907008 198 152 4.22 7.18 11.4 275.67 1699.269 1948
42 "MonteagudodelasVicarias" 41.425 -2.075000000000017 29.367424 146 148 3.59 6.11 9.7 0.01 1.056 1982
43 "SanLorenzoMongay" 41.875 0.8249999999999886 7159.709184 204 139 3.52 5.98 9.5 44.19 897.702 1930
